audiocap_id,youtube_id,start_time,caption
103814,HqndxoujCYI,30,A bell chiming as a clock ticks while a man talks through a television speaker in the background followed by muffled a muffled bell chiming
107311,bygBWUkpaC8,270,"While birds chirp and the wind blows, an adult male speaks in the foreground and people talk in the background"
105045,D2Xc_jZllDY,30,Dog barking with win and man speaking
105042,YQGW5AwDOIo,560,Someone in a crowd whistles while engines rev in cars going slowly by
104099,9BGLAUSF0sk,30,Humming of an idling engine
103699,nD1K1Zo0qrM,10,Humming and rattling with rapid fire gunshots and loud bursts
103698,gW7s3YAthpI,430,"Glass placed on table, a container with liquid is shaken and then poured into the glass"
105945,7_smJ8VbfSU,0,A female speaking
103204,TWOgvDaDqlU,200,A power tool drilling followed by a large motor running as wood is being sawed
107268,v59uHr-B1no,18,Frogs croak near and far with chirping distant bugs
75855,fmEft49sPfE,70,A man speaking as wind blows through foliage and on a microphone
103787,JTHMXLC9YRs,30,A person heavily breathing as wood creaks and ducks quack
104366,ndxkSQKxaak,30,Engine sounds with a man speaking
105831,-Sz4z0QwEuM,20,"A long, loud burp"
103594,22L_3pBa1AI,18,Humming and vibrations of a vehicle speeding past and into the distance
12840,4CAMv5nlr-0,30,A man speaks as he gives a speech and then the crowd cheers
105979,niwgMbB6tpQ,10,Plastic clicking and tapping followed by a woman snoring
103400,os_2U4xqTqw,100,Wind blowing followed by heavy footsteps on a solid surface then a man groaning proceeded by two explosions
103491,yVjivgsU2aA,10,Humming and accelerating of a car engine with squealing tires and people speaking faintly
104620,qakN0JNbpcU,170,A man talking followed by wind blowing into a microphone while insects buzz
104628,YEYeQ0lIkBQ,0,A man shouting and hollering as ducks quack and chirp while wind blows into a microphone
102901,1_z6NcidGzM,30,Water splashes with people speaking in the distance and a faint whistle
104477,LP_DzNUkAKY,490,A muffled steam engine running as a crowd of people talk followed by muffled steam hissing
106427,kLYCjD6vWI4,30,A loud hissing and chugging growing louder
105570,kHIe4CfaccQ,40,A goat bleating
17066,63KW_EQ72yU,30,Very loud explosions with pops and bursts of more explosions
107377,gbtcDoh0q3c,130,Rustling and scratching and then laughter
107379,-EaZ7EJJUl0,50,Cup being set down followed a man talking and mixing something in the cup
103091,frOqlk0Wm5Y,30,A man speaks with some clicks and then loud long scrapes
